ride_id;customer_id;driver_id;start_location;end_location;city;country;ride_date;ride_time;ride_duration_minutes;fare_amount;ride_distance_miles;payment_method;voucher;rating
4316;1157;589;75 Gale Plaza;106 Kropf Plaza;Aiquile;Bolivia;07/03/2024;06:57;89;32.53;19.0;mobile wallet;;4
6753;8228;284;06 Pine View Way;962 Fuller Crossing;Lunéville;France;3/24/2024;00:07;63;74.57;4.0;credit card;XYZ456;5
3108;669;122;53 Nova Drive;66951 Florence Court;La Esperanza;Peru;4/29/2024;12:53;86;8.96;2.7;mobile wallet;;4
1540;4799;533;86 Fairview Court;77 Veith Park;Dayuanhuizu;China;3/31/2024;00:32;24;85.07;8.5;cash;;2
5561;1158;628;74526 Forest Run Park;7719 Truax Park;Helsingborg;Sweden;7/30/2024;11:12;114;79.36;13.3;credit card;;3
5427;6814;987;3 Susan Plaza;7105 Kim Parkway;Stockholm;Sweden;04/11/2024;08:09;27;94.79;6.0;mobile wallet;;3
785;457;200;508 Columbus Center;22005 Swallow Court;Casa Quemada;Honduras;03/12/2024;05:07;20;16.93;14.3;mobile wallet;;5
2770;2764;395;032 Raven Trail;65296 Reindahl Plaza;Kukichūō;Japan;10/24/2024;18:55;113;36.69;9.2;mobile wallet;;3
9167;7230;988;93018 Monument Road;25535 Menomonie Center;Eyvān;Iran;2/23/2024;00:03;76;14.76;8.9;cash;;5
2059;2781;738;9 Pearson Point;86252 Kings Place;Labrador;Philippines;10/17/2024;12:47;80;48.16;13.7;credit card;456JKL;3
6204;1802;915;02 Barnett Junction;77 Lyons Drive;Almaguer;Colombia;6/21/2024;04:03;87;10.22;17.8;cash;;2
1290;455;957;50 Logan Point;3555 Summit Center;Nangen;South Korea;01/05/2024;07:10;14;89.49;5.8;mobile wallet;;5
8347;2875;489;133 Judy Road;5903 Hoffman Place;Kanoni;Uganda;10/01/2024;21:02;87;10.38;10.1;credit card;;3
4535;3780;309;48799 Kenwood Center;069 Messerschmidt Pass;Akráta;Greece;12/20/2024;08:14;8;94.42;6.9;credit card;PQR123;4
5376;2597;555;52354 Oriole Center;744 Mandrake Hill;Zverevo;Russia;06/09/2024;02:08;10;55.11;0.7;credit card;;3
1933;7735;146;0 Northwestern Place;769 Crownhardt Place;Neyrīz;Iran;09/07/2024;14:02;23;25.43;15.6;mobile wallet;;3
1403;4658;696;87318 Old Shore Way;22329 Blue Bill Park Trail;Baborów;Poland;3/22/2024;04:54;108;94.86;5.0;mobile wallet;MNO789;5
8636;10887;392;82 Monica Lane;6703 Lukken Circle;Keroak;Indonesia;3/26/2024;16:45;11;95.64;0.5;credit card;;3
6777;10232;132;57811 Hollow Ridge Alley;7 Derek Park;Ayní;Tajikistan;4/26/2024;12:41;71;82.86;10.3;mobile wallet;;3
4742;5461;365;303 Buell Terrace;9 Acker Street;Saginaw;United States;11/26/2024;14:41;90;13.74;19.9;credit card;;5
1175;3062;318;28340 American Ash Hill;0755 Hoard Way;Inazawa;Japan;01/05/2024;15:51;67;17.03;12.0;credit card;PQR123;2
9039;9096;728;05 Memorial Lane;800 Hansons Drive;Hucheng;China;6/18/2024;03:57;50;11.64;7.4;mobile wallet;;5
413;7837;204;0 Morrow Pass;580 Farwell Parkway;Wu’erqihan;China;1/24/2024;01:25;63;18.79;9.4;credit card;;4
560;532;383;4 Portage Pass;168 Portage Street;Mangere;New Zealand;11/06/2024;17:12;53;44.75;1.5;credit card;;4
4063;9836;115;585 Briar Crest Center;473 Farmco Street;Tanumshede;Sweden;6/23/2024;08:07;119;73.5;5.6;credit card;;3
6033;1975;465;924 Pierstorff Terrace;223 Oneill Alley;Dushi;China;12/31/2024;23:32;35;39.74;13.2;cash;;3
1394;9348;799;7886 Buena Vista Pass;3 Quincy Court;Slobodskoy;Russia;5/19/2024;14:43;13;49.84;19.6;credit card;789GHI;5
6148;7099;135;98 Warner Pass;5313 Oneill Drive;Limón;Costa Rica;1/18/2024;15:12;14;83.54;14.0;credit card;PQR123;4
7556;8041;415;2 West Alley;1724 Orin Pass;Panao;Peru;6/29/2024;15:40;27;53.85;7.9;mobile wallet;STU456;5
5307;7926;475;2 New Castle Plaza;4 Blaine Plaza;Denver;United States;7/29/2024;14:12;29;55.93;5.3;cash;MNO789;4
5994;6125;240;31069 Brown Terrace;510 Kropf Lane;Czarnocin;Poland;11/21/2024;18:23;65;36.7;15.3;mobile wallet;STU456;4
2233;2382;885;2 Mccormick Trail;762 Weeping Birch Avenue;Orlovo;Russia;1/30/2024;00:52;18;84.32;17.9;mobile wallet;;4
1072;8858;193;11 Mariners Cove Place;09537 Northview Terrace;Carnaxide;Portugal;6/29/2024;06:19;80;15.18;16.4;mobile wallet;;4
851;3058;497;010 Birchwood Court;354 Vidon Hill;Liancheng;China;4/16/2024;16:11;7;28.84;16.7;mobile wallet;MNO789;5
8629;8508;807;1 Golf View Circle;088 Starling Point;Qiaozhen;China;08/11/2024;15:20;78;19.87;4.7;mobile wallet;PQR123;3
6595;10877;97;47893 Sloan Road;468 Manley Pass;Belogorsk;Russia;10/27/2024;09:23;103;11.25;6.4;credit card;;5
8830;3738;667;965 Clyde Gallagher Road;92856 Sunfield Place;La Estancia;Honduras;07/05/2024;02:42;108;94.43;2.6;mobile wallet;;4
189;6647;90;016 Maple Terrace;9015 Garrison Center;Bachuan;China;10/28/2024;21:38;90;94.96;11.0;mobile wallet;;5
8840;3150;417;51647 Eggendart Alley;2 Steensland Circle;Karangsembung;Indonesia;3/22/2024;04:58;57;91.08;3.6;credit card;STU456;5
9290;6640;881;3591 Holmberg Point;1999 Jenna Junction;Masachapa;Nicaragua;8/18/2024;05:52;13;7.86;16.7;cash;MNO789;4
438;8639;619;20 Brentwood Place;9460 Dapin Pass;Sîr ed Danniyé;Lebanon;08/08/2024;06:01;82;18.21;19.3;credit card;;3
5109;11000;2;37 Montana Hill;80 Larry Plaza;Farnham;Canada;3/22/2024;02:23;37;10.66;10.8;mobile wallet;;4
1117;7201;990;616 Larry Way;2 Transport Circle;Sandaohezi;China;8/27/2024;22:28;113;7.69;17.7;credit card;;4
3218;3068;307;90715 Sunbrook Point;8149 Stoughton Avenue;Zeleneč;Czech Republic;11/09/2024;02:23;18;98.07;14.0;credit card;STU456;3
5185;3604;507;62463 Sheridan Park;53136 Shelley Park;Altos;Paraguay;7/28/2024;01:26;81;20.61;13.3;credit card;456JKL;5
991;8702;796;5587 Delladonna Pass;9034 Lake View Trail;São João dos Inhamuns;Brazil;8/27/2024;10:33;7;61.28;12.7;mobile wallet;STU456;5
2201;8099;377;862 Pawling Drive;8911 Schmedeman Park;Pasarkolot;Indonesia;07/11/2024;03:58;39;68.96;7.0;mobile wallet;STU456;5
4241;4489;866;487 Blaine Junction;804 3rd Junction;Perstorp;Sweden;1/31/2024;15:46;35;18.13;4.7;credit card;;4
5109;3549;758;50 Mesta Court;19748 Farragut Road;Krásná Hora nad Vltavou;Czech Republic;8/19/2024;15:06;71;30.96;16.1;mobile wallet;;5
1373;2440;658;0 Pond Terrace;205 Becker Road;Gorzkowice;Poland;1/26/2024;05:06;48;11.03;18.4;credit card;;3
2144;3210;783;1 Orin Parkway;2 Longview Crossing;Ararat;Armenia;12/13/2024;11:35;46;93.72;18.6;cash;;5
4942;8956;790;78499 Schurz Parkway;56953 Shoshone Avenue;Daruoyan;China;6/13/2024;07:14;86;81.34;9.0;mobile wallet;;4
1109;8086;308;665 Summit Crossing;6 Clarendon Road;Pedro Miguel;Portugal;4/28/2024;03:50;27;11.71;1.9;credit card;;5
5135;5237;827;06217 Park Meadow Court;8 Loftsgordon Alley;Bearna;Ireland;11/17/2024;15:10;28;94.07;9.2;credit card;;3
1526;4193;834;6733 Lake View Pass;763 Bonner Pass;Deir Ḥannā;Israel;3/13/2024;17:05;42;37.11;8.3;cash;;3
9411;9778;499;66857 Fordem Drive;6 Ramsey Alley;Dal’neye Konstantinovo;Russia;11/26/2024;05:16;113;60.98;3.0;mobile wallet;XYZ456;5
157;927;950;965 Bultman Way;6674 Maywood Avenue;Lau;Nigeria;07/02/2024;19:18;28;76.46;10.8;cash;;5
6319;6224;762;5201 Village Green Circle;89022 Oak Center;Cochabamba;Peru;7/19/2024;23:14;81;82.16;12.7;cash;STU456;4
7452;1172;328;6119 Caliangt Junction;1 Glacier Hill Hill;Bentar Girang;Indonesia;6/13/2024;19:51;104;86.53;15.8;credit card;123DEF;4
8307;7726;229;4594 Nobel Pass;8 Grover Crossing;Staryy Krym;Ukraine;5/23/2024;19:20;53;77.72;15.2;credit card;;3
5462;5004;147;1905 Lighthouse Bay Parkway;24417 Valley Edge Terrace;Telangi Satu;Indonesia;11/07/2024;18:14;94;23.25;4.1;credit card;;5
6644;10800;269;913 Twin Pines Way;968 Emmet Way;Jixian;China;6/30/2024;23:29;62;29.98;2.1;mobile wallet;123DEF;3
7173;3369;309;8 Crowley Junction;388 Bluejay Court;Noşratābād;Iran;7/20/2024;05:08;73;71.75;20.0;mobile wallet;;5
4499;513;889;97 Grayhawk Hill;19938 Lake View Avenue;Taimaman;Indonesia;3/25/2024;05:21;118;57.74;5.5;cash;;3
275;8472;485;34 Spohn Road;5496 Corry Parkway;Vlorë;Albania;5/23/2024;19:05;91;60.83;13.3;cash;MNO789;4
2888;10413;731;04 Luster Plaza;70 Service Drive;Chengqu;China;12/19/2024;05:33;88;82.17;7.8;cash;;4
6390;7174;829;7 Bunting Trail;9455 Ronald Regan Way;Buan;Philippines;12/19/2024;07:07;34;77.94;14.1;mobile wallet;;5
2567;8037;551;779 Melrose Alley;5762 Garrison Junction;Concepción Tutuapa;Guatemala;10/23/2024;18:27;42;83.22;4.7;cash;789VWX;4
3641;4197;769;12 Bunker Hill Alley;782 Service Pass;Villa Carlos Paz;Argentina;05/09/2024;05:32;85;89.85;15.3;mobile wallet;;4
6993;7089;301;150 Pawling Avenue;58257 Clyde Gallagher Junction;Valdosta;United States;09/09/2024;12:41;44;36.33;11.8;cash;;5
4;7465;384;3356 Mallory Terrace;38 Twin Pines Lane;Banjar Tengah;Indonesia;10/22/2024;14:41;24;53.09;13.7;mobile wallet;;3
3992;6262;435;130 Stuart Point;75103 Valley Edge Trail;La Maná;Ecuador;7/31/2024;19:24;51;76.55;13.3;cash;789GHI;5
4462;7990;296;5 Ridgeview Street;0315 Eagle Crest Court;Al Fūlah;Sudan;5/29/2024;06:22;75;68.05;18.0;cash;123DEF;2
3146;8854;157;6 Glendale Park;29 Randy Place;Barengkok;Indonesia;1/24/2024;14:36;90;17.92;7.6;cash;;4
597;9330;987;13 Monterey Trail;8 Fairfield Pass;Kitale;Kenya;12/30/2024;05:15;115;56.57;5.6;credit card;;2
534;10172;134;186 Springs Junction;70 Twin Pines Park;Kaura Namoda;Nigeria;01/12/2024;00:20;86;79.79;9.5;cash;;5
9938;4861;864;3020 Sloan Pass;62758 Laurel Pass;Tiyuguan;China;07/02/2024;15:03;103;13.56;11.5;cash;;4
9251;10283;511;1 Mariners Cove Terrace;48 Clarendon Hill;Wręczyca Wielka;Poland;9/19/2024;23:53;68;27.38;9.9;credit card;;5
6118;7572;764;8383 Talisman Terrace;75712 Oak Park;Kasamatsuchō;Japan;10/05/2024;22:49;70;53.54;18.0;credit card;;4
5802;10611;470;68174 Rowland Alley;77 Sloan Circle;Sijiqing;China;5/25/2024;14:29;21;41.76;9.2;cash;;3
5924;4939;138;68376 Fairfield Plaza;3987 Summer Ridge Pass;Praga Północ;Poland;7/16/2024;01:28;57;18.25;15.9;mobile wallet;MNO789;4
540;4240;612;12572 Northwestern Crossing;74933 Pine View Point;Paritjunus;Indonesia;04/01/2024;08:47;79;73.74;19.8;mobile wallet;;4
4943;2850;573;378 Maryland Point;5 Dottie Center;Ząbkowice Śląskie;Poland;6/22/2024;22:52;33;45.28;5.7;mobile wallet;;4
9813;45;742;6 Morning Crossing;5 Kim Crossing;Hepu;China;06/12/2024;06:08;80;69.79;15.8;mobile wallet;MNO789;4
6837;4698;155;9 Packers Avenue;418 Kinsman Terrace;Trnovska Vas;Slovenia;8/23/2024;17:56;82;20.17;10.1;mobile wallet;789GHI;5
8061;8174;216;242 Warner Park;11 Lakeland Place;Geputan;China;06/12/2024;00:57;63;30.47;4.8;cash;PQR123;3
7629;6352;833;44 Golf Course Crossing;5631 Buell Terrace;Tongzi;China;7/29/2024;08:08;93;84.97;14.8;mobile wallet;STU456;4
3141;7236;1000;13 La Follette Street;03 Scoville Park;Bartsrashen;Armenia;04/06/2024;08:31;90;36.13;2.3;mobile wallet;PQR123;5
1219;1735;765;0240 Annamark Terrace;8686 Northfield Road;Niedźwiedź;Poland;02/12/2024;15:46;68;89.89;18.9;mobile wallet;ABC123;2
492;5144;734;5287 Warner Center;9233 Ridge Oak Circle;Mancilang;Philippines;10/29/2024;14:37;53;29.64;1.8;cash;;4
7378;2858;796;2 Eliot Court;520 Dawn Terrace;Cigaleuh Kulon;Indonesia;01/04/2025;20:01;84;30.09;2.3;cash;;3
357;4967;345;8 Riverside Drive;200 John Wall Terrace;Kołaczyce;Poland;5/13/2024;15:50;118;40.71;5.7;cash;789VWX;4
5840;4821;94;94166 Katie Court;91257 Birchwood Alley;Oslo;Norway;12/04/2024;07:10;60;71.58;7.5;mobile wallet;;3
3364;7528;967;296 Butterfield Point;5 Waywood Court;Västerås;Sweden;9/16/2024;06:39;88;35.79;3.2;mobile wallet;;3
5472;2388;986;36176 Warner Center;5924 Golden Leaf Point;Raydah;Yemen;3/30/2024;06:49;17;15.95;14.3;mobile wallet;456JKL;3
3939;9303;35;7649 Armistice Circle;56661 Porter Place;Gifu-shi;Japan;12/16/2024;18:21;65;21.66;7.9;mobile wallet;STU456;5
3317;2722;907;23253 Corben Road;45 Grim Trail;Rouen;France;01/03/2024;19:27;65;56.65;4.6;mobile wallet;;4
240;1565;128;9 Bartelt Crossing;5 Pennsylvania Pass;Curahuasi;Peru;1/31/2024;02:39;70;16.52;17.7;mobile wallet;;5
1426;3239;507;7 Columbus Place;31 Banding Point;Pivijay;Colombia;08/01/2024;23:10;56;47.15;10.4;credit card;;4
2096;3451;602;009 Fremont Lane;5587 Norway Maple Junction;Mentaras;Indonesia;03/03/2024;00:39;71;76.72;18.4;cash;;4
6311;8639;776;26 Monument Court;240 Cambridge Terrace;Moengo;Suriname;09/01/2024;23:43;109;31.68;8.3;mobile wallet;;4
3689;713;322;439 Debra Hill;12 Arrowood Lane;Kharlu;Russia;04/07/2024;09:55;24;76.68;13.8;cash;YZA123;3
8231;4921;996;682 Morrow Hill;8540 Daystar Terrace;Malangabang;Philippines;2/25/2024;07:29;80;65.08;4.5;credit card;789VWX;4
4937;2761;617;50470 Stang Circle;796 1st Crossing;Mala Danylivka;Ukraine;11/26/2024;10:26;77;21.03;4.6;credit card;;2
8129;6117;135;75 Hoffman Avenue;20 Summerview Court;Iúna;Brazil;9/30/2024;13:00;20;21.15;14.9;cash;;3
2859;9407;359;89 Badeau Parkway;1585 Kingsford Court;São Caetano do Sul;Brazil;5/31/2024;02:29;108;96.16;11.4;mobile wallet;;4
688;10357;249;85862 Burrows Drive;141 Cardinal Crossing;Wangqu;China;3/21/2024;12:20;66;67.0;6.2;cash;123DEF;5
1145;311;545;7 Utah Road;2 Paget Lane;Zhengcun;China;06/10/2024;14:00;25;69.23;19.5;credit card;;4
3285;2363;545;513 Schiller Street;0 Sauthoff Circle;Chexi;China;11/10/2024;14:24;91;82.46;2.3;cash;;3
3806;3699;364;2091 Paget Alley;85996 Carioca Way;Melioratyvne;Ukraine;4/22/2024;17:59;13;26.53;18.1;credit card;;4
4751;2181;595;237 Farragut Junction;43160 Valley Edge Place;Savanna-la-Mar;Jamaica;11/02/2024;02:07;66;19.76;17.3;mobile wallet;;4
3014;9450;513;78 Hooker Court;33501 Mayer Street;Gaula;Portugal;11/04/2024;05:08;81;84.77;0.6;mobile wallet;456JKL;3
6367;9665;808;376 Blaine Street;2 Sloan Plaza;Brooklyn;New Zealand;8/20/2024;23:16;105;96.69;11.5;credit card;;3
4731;1165;937;25906 Granby Alley;97 Mayfield Pass;Tshela;Democratic Republic of the Congo;5/27/2024;01:45;47;20.29;2.6;cash;;4
3107;7731;336;1645 Gale Center;5657 Weeping Birch Crossing;Shiquanhe;China;4/23/2024;20:35;32;36.07;13.8;cash;789GHI;5
6400;7705;434;86838 Troy Pass;30 Norway Maple Plaza;Barra dos Coqueiros;Brazil;11/10/2024;18:33;41;92.44;15.7;mobile wallet;123DEF;3
1040;4475;110;43672 Clarendon Hill;9928 Butterfield Place;Ekibastuz;Kazakhstan;6/29/2024;10:45;40;72.7;13.1;credit card;;5
8159;3656;868;420 Roxbury Street;88 Buena Vista Point;Flin Flon;Canada;12/27/2024;22:27;74;53.12;6.9;credit card;PQR123;2
3296;10468;845;785 American Ash Way;40762 Sunbrook Trail;Villa Bisonó;Dominican Republic;10/05/2024;19:07;31;42.68;6.2;credit card;;4
5695;8347;787;1 Hooker Drive;40052 South Circle;Petaling Jaya;Malaysia;09/03/2024;19:40;85;20.92;9.7;cash;;4
1740;4613;510;4034 Katie Center;5850 Sherman Trail;Liudu;China;04/08/2024;09:25;106;20.36;3.2;cash;MNO789;2
3187;10680;165;0 Prairie Rose Terrace;25 Kenwood Court;Sokolov;Czech Republic;11/15/2024;06:24;62;36.91;12.5;credit card;;5
7713;8796;988;38307 Main Street;95 Troy Way;Parung;Indonesia;07/02/2024;15:36;37;97.76;3.6;credit card;;5
7140;5798;149;0908 Columbus Parkway;61 Almo Alley;Shankill;Ireland;3/15/2024;11:12;63;88.97;5.1;mobile wallet;;3
2444;9599;613;43015 Dexter Point;378 Buena Vista Crossing;Zavidovo;Russia;11/04/2024;22:24;46;29.99;7.6;cash;;4
4404;994;95;2 Karstens Road;192 Sunbrook Plaza;Qila Abdullāh;Pakistan;02/05/2024;00:18;7;98.0;2.5;cash;;4
3269;10506;693;98827 Badeau Terrace;69 Carioca Hill;Pisão;Portugal;5/13/2024;12:17;67;30.85;8.2;credit card;;2
3946;3922;666;741 Waubesa Junction;942 Monica Street;Yukhnov;Russia;7/27/2024;17:07;55;50.58;18.0;credit card;;2
2244;2322;867;9968 Kinsman Alley;52556 Mcbride Crossing;Dawan;Indonesia;8/21/2024;08:41;11;54.89;15.6;cash;PQR123;4
600;2367;243;668 Bellgrove Center;0 Dorton Center;Solna;Sweden;12/25/2024;21:31;28;13.66;4.0;credit card;;5
6951;1030;269;50 Meadow Vale Trail;224 Fallview Place;Chalan Pago-Ordot Village;Guam;11/07/2024;23:36;32;90.51;8.3;credit card;789GHI;4
52;9752;825;69 Logan Parkway;351 Parkside Plaza;Boawae;Indonesia;5/24/2024;01:58;22;13.22;7.8;credit card;;4
3593;4324;440;4627 Swallow Point;10383 Farragut Drive;El Copé;Panama;12/30/2024;23:55;29;99.04;9.1;mobile wallet;;3
2750;553;819;11 Sundown Pass;7918 Sheridan Trail;Pepe;Indonesia;05/09/2024;00:54;94;10.92;10.4;cash;;4
5700;956;843;0282 Mayer Plaza;116 Haas Trail;Mokolo;Cameroon;7/14/2024;17:32;113;56.66;0.7;cash;123DEF;4
4346;1693;54;29 Novick Alley;9971 Texas Trail;Delgermörön;Mongolia;06/04/2024;17:13;70;35.22;14.6;mobile wallet;;2
6751;2850;657;0521 Crownhardt Lane;34724 Fordem Court;Gulao;China;5/16/2024;07:39;42;76.1;10.5;mobile wallet;;2
252;2597;974;352 Express Trail;1741 Oxford Court;Mizur;Russia;7/14/2024;02:33;35;29.63;14.0;credit card;YZA123;3
239;3975;287;7 Elka Park;2 Tennyson Avenue;Comapa;Guatemala;4/29/2024;05:46;109;34.39;11.2;mobile wallet;;5
4913;8480;968;25 Sheridan Park;143 Gulseth Center;Ol’ginka;Russia;04/01/2024;13:28;117;97.6;16.5;cash;;5
6375;5470;675;6 North Junction;9189 Washington Center;Terangun;Indonesia;08/05/2024;15:32;83;85.17;11.7;cash;ABC123;5
4527;4968;853;508 Rockefeller Place;452 Anderson Road;Jednorożec;Poland;3/21/2024;17:04;53;78.96;3.9;cash;;4
8554;8996;103;7 Hallows Parkway;1 Mccormick Road;Mayqayyng;Kazakhstan;7/25/2024;11:45;97;49.29;19.0;credit card;;3
7004;8351;523;8 Carpenter Alley;021 American Drive;Doushaguan;China;4/24/2024;20:26;58;25.13;5.5;credit card;XYZ456;4
7125;4486;407;28 Sommers Drive;3 Sherman Crossing;Breda;Netherlands;6/18/2024;16:59;55;38.31;17.6;mobile wallet;;5
3422;9089;527;51456 Hovde Plaza;1821 Lakewood Alley;Gunungsubang;Indonesia;01/04/2025;07:56;113;85.19;0.7;mobile wallet;;3
6185;816;755;9166 Porter Avenue;564 Oxford Trail;Zābolī;Iran;1/20/2024;07:33;69;9.03;1.1;credit card;789VWX;4
1508;4384;402;0 Clyde Gallagher Alley;08182 Hansons Alley;Banjarkemuning;Indonesia;11/28/2024;10:45;95;61.87;6.1;credit card;;4
5061;6737;611;260 Delladonna Pass;5 Huxley Hill;Paola;Malta;8/18/2024;03:31;44;53.64;16.8;credit card;YZA123;3
9726;9046;993;6 Dwight Trail;18332 Fulton Terrace;Traiguén;Chile;6/22/2024;16:17;103;14.9;18.5;mobile wallet;;4
940;10240;6;3 Caliangt Place;371 Kim Park;Tiepu;China;6/21/2024;18:46;114;10.26;4.1;cash;;3
7834;3056;366;684 Fulton Pass;6638 Bultman Drive;Oke Mesi;Nigeria;03/04/2024;14:59;79;76.32;9.9;credit card;;5
982;4866;653;48681 Everett Road;99 Debs Center;Beloostrov;Russia;1/30/2024;12:07;32;90.65;17.0;cash;;5
6426;8642;714;536 Wayridge Way;037 Lakeland Pass;Gancheng;China;01/03/2025;08:50;5;81.51;8.3;mobile wallet;STU456;3
1431;7748;594;130 Stuart Terrace;29708 Dwight Drive;Fort Worth;United States;3/27/2024;12:38;102;19.85;1.3;mobile wallet;;5
7490;5012;288;86 Grover Court;0996 Fulton Center;Sylvan Lake;Canada;04/05/2024;07:00;49;94.42;18.3;mobile wallet;PQR123;4
3817;1104;818;554 Brickson Park Parkway;659 Packers Place;Xarag;China;10/27/2024;06:40;75;11.87;16.5;cash;;4
3715;297;873;74670 Main Trail;6 Boyd Plaza;Thị Trấn Việt Lâm;Vietnam;2/16/2024;08:18;14;29.07;19.3;mobile wallet;;3
5532;5074;636;26 Hagan Drive;45823 Schlimgen Center;Dula’er Ewenke Minzu;China;10/24/2024;22:47;40;78.35;14.3;credit card;;3
5515;5234;292;82391 Petterle Plaza;64779 Lawn Junction;Santana;Portugal;04/05/2024;23:04;49;34.64;19.0;mobile wallet;;4
1111;8994;932;268 Everett Place;071 Maple Wood Avenue;Tambakan;Indonesia;4/25/2024;06:35;66;85.59;9.1;credit card;123DEF;4
9377;1064;887;9840 Schiller Way;2 Donald Terrace;Aix-en-Provence;France;10/29/2024;10:05;61;43.31;17.9;mobile wallet;123DEF;3
1007;8193;792;93510 Mallory Point;696 Westport Drive;Mityana;Uganda;7/15/2024;12:54;57;78.15;16.3;cash;123DEF;4
9107;4543;195;0916 Mallory Center;9257 Meadow Ridge Place;Stockholm;Sweden;05/10/2024;22:57;118;59.76;11.5;cash;;5
7308;1418;390;4 Esker Junction;539 Nelson Court;Panunggangan;Indonesia;02/01/2024;07:27;90;38.92;17.2;cash;;4
1260;1717;684;32747 Mallard Parkway;89781 Trailsway Place;Karagach;Russia;9/30/2024;09:58;44;25.54;4.5;cash;YZA123;5
6742;2740;956;61 Sauthoff Place;6331 Roxbury Lane;Greensboro;United States;11/12/2024;21:31;100;7.43;8.7;mobile wallet;;3
1311;8322;558;662 Bowman Place;86 Forest Dale Crossing;Pensacola;United States;11/10/2024;00:34;117;91.55;9.0;cash;;4
909;3113;278;40326 Spaight Crossing;28 Hanson Junction;Huangxi;China;9/22/2024;04:58;52;85.26;19.7;mobile wallet;;4
5601;6782;246;80050 Nelson Drive;92 Pankratz Street;Iwamizawa;Japan;9/29/2024;18:47;115;33.05;13.8;mobile wallet;;4
9947;8083;23;7 1st Lane;18022 Bunting Road;Waegwan;South Korea;12/12/2024;20:02;6;40.94;3.2;cash;;5
3302;6594;559;7 Stephen Lane;890 Oneill Hill;Kista;Sweden;10/14/2024;03:03;70;90.13;15.9;credit card;YZA123;5
6808;3469;972;410 Lake View Lane;576 Hayes Hill;Piaocao;China;9/19/2024;05:28;14;65.86;8.1;cash;;5
3152;7740;755;44 Rutledge Trail;167 Dakota Crossing;Paris La Défense;France;3/30/2024;08:24;81;56.44;13.1;cash;;4
5019;698;6;80581 Toban Lane;883 Merrick Terrace;Chowṉêy;Afghanistan;2/29/2024;11:46;45;93.82;10.1;mobile wallet;;3
3498;2705;553;602 Springview Point;9 Truax Pass;Orahovica Donja;Bosnia and Herzegovina;07/12/2024;20:38;37;76.93;17.4;mobile wallet;STU456;4
